id|createTime|deleteTime|isBlocked|type|nickname|phonenum|email|freqLoginType|lastLoginTime|accountLevel|inDegree|OutDegree|isExplicitDeleted|Owner
299771674830569472|1669969124036|1893196800000|false|trust account|Hester Mackert|277-5342|yahoo.com|IPv4|1750605753344|Basic level|8|2|false|COMPANY
282038751297798145|1664554795431|1665399830875|false|internet account|Philip Olecki|352-7805|gmail.com|RFID|1664798138375|Silver level|1|1|true|COMPANY
301741999667544066|1670578751235|1893196800000|false|corporate account|Randee Arman|299-1017|hotmail.com|NFC|1816396115841|Silver level|1|2|false|COMPANY
304556749434650627|1671478132690|1893196800000|false|prepaid card|Billye Scranton|733-1472|gmx.com|PHONE|1866456957763|Gold level|1|4|false|COMPANY
300897574737412100|1670337845889|1893196800000|false|brokerage account|Dorian Youd|970-0532|gmail.com|IPv4|1690979916115|Basic level|2|6|false|COMPANY
307652974178467845|1672362447922|1893196800000|false|certificate of deposit|Sanford Galano|957-0331|gmail.com|IPv6|1882699106061|Basic level|2|1|false|COMPANY
194500033540784134|1637654955318|1893196800000|false|debit card|Jen Mcclafferty|269-0133|zoho.com|ATM|1842665670590|Basic level|1|2|false|COMPANY
282601701251219463|1664667061765|1893196800000|true|trust account|Neville Derastel|933-4632|gmail.com|MAC|1676008003259|Basic level|1|1|false|COMPANY
299771674830569480|1670001311381|1893196800000|false|credit card|Kieth Momplaisir|729-4384|gmail.com|QRCode|1763625457801|Elite level|2|1|false|COMPANY
144960437639708681|1622415668184|1893196800000|false|escrow account|Roderick Buman|966-2494|gmail.com|QRCode|1721655714501|Basic level|1|54|false|COMPANY
237002755024093194|1650709061794|1893196800000|false|trust account|Rico Bonepart|668-2525|hotmail.com|WIFI|1717338598465|Basic level|1|1|false|COMPANY
269653852322529291|1660738129065|1893196800000|false|retirement account|Toney Betz|699-0967|gmail.com|WIFI|1696856416110|Silver level|1|2|false|COMPANY
119064739782328332|1614503606811|1893196800000|false|debit card|Leonel Gagnier|107-0449|yahoo.com|QRCode|1848444143559|Basic level|1|1|false|COMPANY
231373255489880077|1649008602816|1893196800000|false|foreign currency|Galen Eames|662-6927|gmail.com|ATM|1688983998806|Gold level|1|1|false|COMPANY
156782386661556238|1626038226076|1662151571586|false|prepaid card|Forrest Foxwell|899-6684|yahoo.com|IPv4|1659460872193|Basic level|1|2|true|COMPANY
263461402834894863|1658839661416|1662979005029|false|corporate account|Colton Leeper|304-3771|gmail.com|PHONE|1662159899613|Gold level|1|1|true|COMPANY
255861578463707152|1656466790840|1658186101121|false|internet account|Lidia Bonesteel|135-9534|gmx.com|WIFI|1657272846967|Diamond level|1|1|true|COMPANY
237565704977514513|1650856739876|1893196800000|false|foreign currency|Landon Zarzuela|839-4612|gmail.com|QRCode|1763334962139|Gold level|3|1|false|COMPANY
223773431118692370|1646652945403|1893196800000|false|credit card|Deane Mccaa|496-6726|gmx.com|IPv6|1710502732258|Silver level|1|1|false|COMPANY
